Day_Count,Date,China,India,Indonesia,Pakistan,United_States
1,1/2/2020,259,0,0,0,0
2,2/2/2020,304,0,0,0,0
3,3/2/2020,361,0,0,0,0
4,4/2/2020,426,0,0,0,0
5,5/2/2020,492,0,0,0,0
6,6/2/2020,564,0,0,0,0
7,7/2/2020,637,0,0,0,0
8,8/2/2020,723,0,0,0,0
9,9/2/2020,812,0,0,0,0
10,10/2/2020,909,0,0,0,0
11,11/2/2020,1017,0,0,0,0
12,12/2/2020,1114,0,0,0,0
13,13-02-2020,1368,0,0,0,0
14,14-02-2020,1381,0,0,0,0
15,15-02-2020,1524,0,0,0,0
16,16-02-2020,1666,0,0,0,0
17,17-02-2020,1771,0,0,0,0
18,18-02-2020,1869,0,0,0,0
19,19-02-2020,2008,0,0,0,0
20,20-02-2020,2120,0,0,0,0
21,21-02-2020,2238,0,0,0,0
22,22-02-2020,2347,0,0,0,0
23,23-02-2020,2445,0,0,0,0
24,24-02-2020,2595,0,0,0,0
25,25-02-2020,2665,0,0,0,0
26,26-02-2020,2717,0,0,0,0
27,27-02-2020,2746,0,0,0,0
28,28-02-2020,2790,0,0,0,0
29,29-02-2020,2837,0,0,0,0
30,1/3/2020,2872,0,0,0,1
31,2/3/2020,2914,0,0,0,2
32,3/3/2020,2946,0,0,0,6
33,4/3/2020,2983,0,0,0,9
34,5/3/2020,3014,0,0,0,11
35,6/3/2020,3044,0,0,0,12
36,7/3/2020,3072,0,0,0,14
37,8/3/2020,3099,0,0,0,17
38,9/3/2020,3122,0,0,0,21
39,10/3/2020,3139,0,0,0,26
40,11/3/2020,3161,0,0,0,28
41,12/3/2020,3172,0,1,0,30
42,13-03-2020,3179,1,2,0,40
43,14-03-2020,3194,2,4,0,47
44,15-03-2020,3203,2,4,0,57
45,16-03-2020,3216,2,5,0,69
46,17-03-2020,3225,3,5,0,85
47,18-03-2020,3241,3,5,0,108
48,19-03-2020,3249,3,5,0,150
49,20-03-2020,3253,4,19,2,150
50,21-03-2020,3259,4,25,3,260
51,22-03-2020,3265,4,38,3,340
52,23-03-2020,3274,7,48,5,471
53,24-03-2020,3281,9,49,6,590
54,25-03-2020,3285,9,55,7,801
55,26-03-2020,3291,13,58,8,1050
56,27-03-2020,3296,17,78,9,1296
57,28-03-2020,3299,19,87,9,1707
58,29-03-2020,3304,25,102,11,2191
59,30-03-2020,3306,29,114,13,2509
60,31-03-2020,3309,32,122,18,3170
61,1/4/2020,3310,35,136,26,4079
62,2/4/2020,3316,50,157,31,5138
63,3/4/2020,3326,56,170,31,6053
64,4/4/2020,3330,68,181,31,7157
65,5/4/2020,3333,77,191,35,8501
66,6/4/2020,3335,109,198,50,9647
67,7/4/2020,3335,114,209,54,10989
68,8/4/2020,3337,149,221,58,12895
69,9/4/2020,3339,166,240,63,14817
70,10/4/2020,3340,199,280,66,16690
71,11/4/2020,3343,239,306,71,18777
72,12/4/2020,3343,273,327,86,20608
73,13-04-2020,3345,308,373,93,22108
74,14-04-2020,3345,339,399,96,23649
75,15-04-2020,3346,377,459,107,26057
76,16-04-2020,3346,414,469,124,30985
77,17-04-2020,4636,437,496,135,33284
78,18-04-2020,4636,480,520,143,37054
79,19-04-2020,4636,507,535,159,38910
80,20-04-2020,4636,543,582,176,40682
81,21-04-2020,4636,590,590,192,42539
82,22-04-2020,4636,640,616,209,45063
83,23-04-2020,4636,681,635,209,46784
84,24-04-2020,4636,718,647,237,49963
85,25-04-2020,4636,775,689,253,51017
86,26-04-2020,4636,824,720,269,53189
87,27-04-2020,4637,872,743,281,54876
88,28-04-2020,4637,934,765,301,56245
89,29-04-2020,4637,1007,773,327,58355
90,30-04-2020,4637,1074,784,346,60966
91,1/5/2020,4637,1147,792,385,63006
92,2/5/2020,4637,1218,800,417,65068
93,3/5/2020,4637,1301,831,440,66385
94,4/5/2020,4637,1373,845,462,67682
95,5/5/2020,4637,1568,864,486,68934
96,6/5/2020,4637,1694,872,526,71078
97,7/5/2020,4637,1783,895,564,73431
98,8/5/2020,4637,1886,930,594,75670
99,9/5/2020,4637,1981,943,618,77180
100,10/5/2020,4637,2109,959,639,78794
